code;libelle;etat;insee_commune;nom_commune;mo_raison_sociale;x;y;precision_coord;categorie;puissance_maximum;productible_moyen;debit;coef_energetique;nb_turbines;type_turbine;titre;date_echeance_titre;hauteur_de_chute
15165001;Centrale de La Pachevie;EXPL;15165;Rouffiac;S.A.R.L. GLM;628810.56;6440017.02;0;Ouvrage fonctionnant au fil de l'eau;;1840763;;;;;;;90
09004001;Centrale d'Albies;EXPL;09004;Albiès;ENERGIE ELECTRIQUE DE PALOUMA;593334.9;6187413.5;0;Ouvrage fonctionnant au fil de l'eau;1.88800001144409;3127132;;;;;Autorisée;2024-08-04;10.6899995803833
09014001;MOULIN DE ROQUES;EXPL;09014;Argein;HYDRO BOUIGANE;535762;6205445.5;0;Ouvrage fonctionnant au fil de l'eau;0.129999995231628;228122;;;;;;;4.69999980926514
09015001;Centrale d'Arignac;EXPL;09015;Arignac;MOULIN D'ARIGNAC;585909.3;6197056.5;0;Ouvrage fonctionnant au fil de l'eau;;346776;;;;;;;13.6000003814697
09015002;Moulin de la Calviere;HORS;09015;Arignac;SNC CALVIERE;585009.94;6198011.5;0;Ouvrage fonctionnant au fil de l'eau;;531075;;;;;;;12
09018001;ARROUT;EXPL;09018;Arrout;DEPARTEMENT DE L'ARIEGE GESTION DES CENTRALES ELECTRIQUES;539348.5;6206776.5;0;Ouvrage fonctionnant au fil de l'eau;0.800000011920929;2675187;6.59999990463257;"0,041000";2;Francis;Autorisée;1994-10-16;19.5
09024001;LAPARAN;EXPL;09024;Aston;ELECTRICITE DE FRANCE;590524.33;6179333.82;0;Ouvrage de type Lac;43.7999992370605;90662000;11.6999998092651;"0,983000";1;Francis;Concédée;2058-12-31;442
09024002;ASTON;EXPL;09024;Aston;ELECTRICITE DE FRANCE;591624.79;6187257.16;0;Ouvrage fonctionnant par éclusées;105.900001525879;310564992;24.2000007629395;"1,160000";4;Pelton;Concédée;2023-12-31;519.799987792969
09026001;Centrale DUPUY;EXPL;09026;Audressein;EURL MICROENERGIE;538565.06;6205544;0;Ouvrage fonctionnant au fil de l'eau;0.100000001490116;;6;;1;;Autorisée;2031-05-07;1.79999995231628
09030001;SOULCEM;EXPL;09030;Auzat;ELECTRICITE DE FRANCE;570971.65;6180271.35;0;Ouvrage de type Lac;26.2000007629395;46515200;7;"0,900000";1;Francis;Concédée;2060-12-31;410.600006103516
09030002;BASSIES;EXPL;09030;Auzat;ELECTRICITE DE FRANCE;573358.65;6184236.6;0;Ouvrage de type Lac;3;14871933;0.800000011920929;"0,955000";1;Pelton;Concédée;1994-10-16;439
09030003;PRADIERES Basse Chute;EXPL;09030;Auzat;ELECTRICITE DE FRANCE;576194.62;6180605.38;0;Ouvrage de type Lac;10;18570532;3.40000009536743;"0,994000";1;Pelton;Concédée;2006-12-31;458.399993896484
09030004;AUZAT;EXPL;09030;Auzat;ELECTRICITE DE FRANCE;575280.24;6185838.22;0;Ouvrage fonctionnant au fil de l'eau;52.2000007629395;158036928;16.2999992370605;"0,913000";2;Francis double;Concédée;1994-10-16;415.100006103516
09030005;PRADIERES Haute Chute;EXPL;09030;Auzat;ELECTRICITE DE FRANCE;576209;6180606.5;0;Ouvrage de type Lac;23.2999992370605;51718200;5.09999990463257;"1,400000";2;Pelton;Concédée;2047-12-31;648.799987792969
09032001;LE TEICH;EXPL;09032;Ax-les-Thermes;ELECTRICITE DE FRANCE;604978.85;6180570.89;0;Ouvrage fonctionnant par éclusées;6.09999990463257;22323800;9;"0,210000";1;Francis;Concédée;2017-12-31;93.8000030517578
09041001;Centrale de Labastide;EXPL;09041;La Bastide-du-Salat;CENTRALE DE LA BASTIDE DU SALAT;535691.9;6219462;0;Ouvrage fonctionnant au fil de l'eau;0.967999994754791;2431058;33;;;;Autorisée;2008-07-27;2.99000000953674
09045001;LES ESPINASSIERES;EXPL;09045;Bédeilhac-et-Aynat;DU SAURAT;582326.3;6198495.5;0;Ouvrage fonctionnant au fil de l'eau;0.178000003099442;521973;;;;;;;
09047001;BELOT;EXPL;09047;Bélesta;SARL HERREROS HYDROELECTRICITE;613009;6200954;0;Ouvrage fonctionnant au fil de l'eau;0.187999993562698;261373;3.5;;1;Francis;Autorisée et fondée en titre;2026-02-13;5.5
09047002;LA FORGE;EXPL;09047;Bélesta;SARL LA FORGE;612582.56;6200703;0;Ouvrage fonctionnant au fil de l'eau;0.24600000679493;221270;3;;;;Autorisée;2038-07-08;10
09049001;CENTRALE DE GAYNES;EXPL;09049;Bénac;DH ENERGIES;580106.09;6208348.72;0;Ouvrage fonctionnant au fil de l'eau;0.103000000119209;26778;;;;;;;
