Region,Optimal Window,Max Correlation
FRI3,121,0.6348714363379708
FRI2,61,0.6301187168324877
FRI1,61,0.6062488547393369
FRC2,61,0.6013805209007668
FRK1,51,0.5797491305651786
FRJ2,61,0.5647708076512743
FRB0,61,0.5610948432404718
FRH0,171,0.5533360946716227
FRK2,61,0.5450534605471369
FRF2,171,0.5422147341254422
FRG0,121,0.5398908548954308
FRC1,151,0.5348010576413774
FRF3,161,0.5285095772219801
FR10,151,0.5114858783184918
FRE2,171,0.48141782917632303
FRD2,171,0.48071452412208204
FRD1,171,0.47888641731592946
FRF1,51,0.464890928249201
FRE1,171,0.433905720243656
FRJ1,121,0.35075348823789065
FRL0,121,0.34882262845420636
